"","ID","Broadleaved woodland","Coniferous Woodland","Arable and Horticulture","Improved Grassland","Neutral Grassland","Calcareous Grassland","Acid Grassland","Fen,Marsh and Swamp","Heather","Heather grassland","Bog","Inland Rock","Saltwater","Freshwater","Supra-littoral Rock","Supra-littoral sediment","Littoral Rock","Littoral sediment","Saltmarsh","Urban","Suburban"
"1","NX7847",0.0881223944501123,0.00365475491972759,0.0293303635345498,0.858469312284957,0,0,0.00742086545629476,0,0,0,0,0,0,0,0,0.00113960113960113,0,0,0,0.00317594409321033,0.00868676412154673
"2","NX7848",0.140005394112734,0.00851893013034042,0.202436999870614,0.622140161433653,0,0,0,0,0,0,0.00662415088915657,0,0,0,0,0,0,0,0,0.0021043771043771,0.0181699864591248
"3","NX7849",0.116746183431047,0.00517607028904322,0.111019165676373,0.746557305902902,0,0,0,0,0,0,0.0189007434020625,0,0,0,0,0,0,0,0,0.000699778119133022,0.000900753179438407
"4","NX7850",0.0245605273448411,0.0325178775069842,0.093119877252557,0.839697914743167,0,0,0,0,0,0,0.0001194743130227,0,0,0,0,0,0,0,0,0,0.00998432883942812
"5","NX7851",0.0427959189467001,0.0315180088589347,0.120669785629327,0.781135785716261,0,0,0,0,0,0,0.000434452047355273,0,0,0,0,0,0,0,0,0.00924560924560924,0.014200439555812
"6","NX7852",0.273714023447742,0.0655051139942269,0.0476619092810413,0.547116631140662,0,0,0.0222727501116975,0,0,0,0.00153399668325041,0,0,0.0221177863910422,0,0,0,0,0,0.00746187363834421,0.0126159153119937
"7","NX7853",0.053430297325128,0.244842197130556,0.012813431114801,0.0800192538929912,0,0,0.580602391630536,0,0.0243749774809261,0.00280816976022456,0.00110928166483721,0,0,0,0,0,0,0,0,0,0
"8","NX7854",0.0181178866226148,0.790776109346904,0,0.0342107497355424,0,0,0.141384265831168,0,0.01551098846377,0,0,0,0,0,0,0,0,0,0,0,0
"9","NX7855",0.0964040169999798,0.41351465007583,0.00166686330208342,0.0495712574708277,0,0,0.147424593053051,0,0.276347439410047,0.0131854404796827,4.61233337945657e-05,0,0,0,0,0,0,0,0,0,0.00183961587470359
"10","NX7856",0.0947946994997154,0.0594652545899404,0.00806585590674803,0.761100544812003,0.00123456790123457,0,0.0548289644438343,0,0,0,0,0,0,0,0,0,0,0,0,0.00757137036324289,0.012938742483281
